1.33	0.117783	0.0284947	0.0892879
1.34	0.117931	0.0285625	0.0893688
1.35	0.118077	0.02863	0.0894471
1.36	0.11822	0.0286973	0.0895229
1.37	0.11836	0.0287643	0.0895961
1.38	0.118498	0.028831	0.0896667
1.39	0.118632	0.0288973	0.0897347
1.4	0.118763	0.0289634	0.0898001
1.41	0.118892	0.0290292	0.0898629
1.42	0.119018	0.0290946	0.089923
1.43	0.11914	0.0291596	0.0899806
1.44	0.11926	0.0292243	0.0900355
1.45	0.119377	0.0292886	0.0900879
1.46	0.11949	0.0293526	0.0901376
1.47	0.119601	0.0294161	0.0901847
1.48	0.119709	0.0294793	0.0902292
1.49	0.119813	0.029542	0.0902711
1.5	0.119915	0.0296043	0.0903104
1.51	0.120013	0.0296662	0.0903472
1.52	0.120109	0.0297277	0.0903813
1.53	0.120202	0.0297886	0.0904129
1.54	0.120291	0.0298492	0.090442
1.55	0.120378	0.0299092	0.0904685
1.56	0.120461	0.0299688	0.0904924
1.57	0.120542	0.0300278	0.0905139
1.58	0.120619	0.0300864	0.0905329
1.59	0.120694	0.0301445	0.0905494
1.6	0.120765	0.030202	0.0905634
1.61	0.120834	0.0302591	0.0905751
1.62	0.1209	0.0303155	0.0905843
1.63	0.120963	0.0303715	0.0905911
1.64	0.121022	0.0304269	0.0905955
1.65	0.121079	0.0304817	0.0905976
1.66	0.121133	0.030536	0.0905974
1.67	0.121185	0.0305897	0.0905949
1.68	0.121233	0.0306428	0.0905901
1.69	0.121278	0.0306953	0.0905831
1.7	0.121321	0.0307472	0.0905739
1.71	0.121361	0.0307986	0.0905625
1.72	0.121398	0.0308493	0.090549
1.73	0.121433	0.0308994	0.0905333
1.74	0.121464	0.0309488	0.0905156
1.75	0.121493	0.0309977	0.0904958
1.76	0.12152	0.0310459	0.090474
1.77	0.121544	0.0310935	0.0904502
1.78	0.121565	0.0311404	0.0904245
1.79	0.121584	0.0311867	0.0903969
1.8	0.1216	0.0312323	0.0903675
1.81	0.121613	0.0312772	0.0903361
1.82	0.121625	0.0313215	0.090303
1.83	0.121633	0.0313651	0.0902682
1.84	0.12164	0.0314081	0.0902316
1.85	0.121644	0.0314504	0.0901934
1.86	0.121645	0.0314919	0.0901536
1.87	0.121645	0.0315328	0.0901121
1.88	0.121642	0.031573	0.0900691
1.89	0.121637	0.0316125	0.0900246
1.9	0.12163	0.0316514	0.0899787
1.91	0.121621	0.0316895	0.0899313
1.92	0.121609	0.0317269	0.0898826
1.93	0.121596	0.0317636	0.0898325
1.94	0.121581	0.0317996	0.0897812
1.95	0.121563	0.0318349	0.0897286
1.96	0.121544	0.0318695	0.0896748
1.97	0.121523	0.0319034	0.0896198
1.98	0.1215	0.0319365	0.0895638
1.99	0.121476	0.031969	0.0895067
2	0.121449	0.0320007	0.0894486
2.01	0.121421	0.0320317	0.0893895
2.02	0.121392	0.032062	0.0893295
2.03	0.12136	0.0320916	0.0892686
2.04	0.121327	0.0321205	0.0892069
2.05	0.121293	0.0321487	0.0891444
2.06	0.121257	0.0321761	0.0890812
2.07	0.12122	0.0322029	0.0890173
2.08	0.121182	0.0322289	0.0889527
2.09	0.121142	0.0322542	0.0888875
2.1	0.121101	0.0322788	0.0888218
2.11	0.121058	0.0323027	0.0887556
2.12	0.121015	0.0323259	0.0886889
2.13	0.12097	0.0323483	0.0886218
2.14	0.120924	0.0323701	0.0885543
2.15	0.120878	0.0323912	0.0884865
2.16	0.12083	0.0324116	0.0884184
2.17	0.120781	0.0324313	0.0883501
2.18	0.120732	0.0324503	0.0882815
2.19	0.120681	0.0324686	0.0882128
2.2	0.12063	0.0324862	0.088144
2.21	0.120578	0.0325032	0.0880752
2.22	0.120526	0.0325195	0.0880063
2.23	0.120472	0.0325351	0.0879374
2.24	0.120419	0.0325501	0.0878685
2.25	0.120364	0.0325644	0.0877998
2.26	0.120309	0.032578	0.0877312
2.27	0.120254	0.032591	0.0876628
2.28	0.120198	0.0326034	0.0875946
2.29	0.120142	0.0326151	0.0875266
2.3	0.120085	0.0326262	0.0874589
2.31	0.120028	0.0326366	0.0873916
2.32	0.119971	0.0326465	0.0873246
2.33	0.119914	0.0326557	0.087258
2.34	0.119856	0.0326644	0.0871919
2.35	0.119799	0.0326724	0.0871262
2.36	0.119741	0.0326798	0.087061
2.37	0.119683	0.0326867	0.0869963
2.38	0.119625	0.032693	0.0869323
2.39	0.119568	0.0326987	0.0868688
2.4	0.11951	0.0327039	0.0868059
2.41	0.119452	0.0327086	0.0867437
2.42	0.119395	0.0327126	0.0866822
2.43	0.119338	0.0327162	0.0866214
2.44	0.119281	0.0327193	0.0865613
2.45	0.119224	0.0327218	0.086502
2.46	0.119167	0.0327238	0.0864435
2.47	0.119111	0.0327254	0.0863858
2.48	0.119055	0.0327264	0.086329
2.49	0.119	0.032727	0.086273
2.5	0.118945	0.0327271	0.0862179
2.51	0.11889	0.0327268	0.0861637
2.52	0.118836	0.032726	0.0861104
2.53	0.118783	0.0327248	0.086058
2.54	0.11873	0.0327232	0.0860067
2.55	0.118677	0.0327212	0.0859563
