Protons:
1s_1.2		-22.066506375876429
2s_1.2		-12.200674153864384
1p_1.2		-18.986053736879619
2p_1.2		-6.180231491074665
1p_3.2		-19.556945772520052
2p_3.2		-6.969675466767512
1d_3.2		-14.826770106122169
1d_5.2		-16.065740318419003
2d_5.2		-1.488047850747535
1f_5.2		-21.600440029054880
2f_5.2		-9.681473340294339
1f_7.2		-21.820035936310887
2f_7.2		-11.821370548523667
1g_7.2		-3.702394680580660
1g_9.2		-6.961679160634191
1h_11.2		-1.586650217796503

Neutrons:
1s_1.2		-39.955502282290809
2s_1.2		-29.468789904817868
3s_1.2		-15.161376837641001
4s_1.2		-1.251953125000000
1p_1.2		-35.746965787319148
2p_1.2		-22.603126529945811
3p_1.2		-7.272932169027627
1p_3.2		-36.114566691865811
2p_3.2		-23.334591688274521
3p_3.2		-8.175439123995602
1d_3.2		-30.677801720905059
2d_3.2		-15.451813310490117
3d_3.2		-0.632219027727842
1d_5.2		-31.587519626302637
2d_5.2		-16.916080209326125
3d_5.2		-1.858429541811347
1f_5.2		-24.779045009120217
2f_5.2		-8.028020168074384
1f_7.2		-26.486445379106634
2f_7.2		-10.328014715885146
1g_7.2		-18.137125799120398
2g_7.2		-0.705869936630741
1g_9.2		-20.894179362854445
2g_9.2		-3.734125465960062
1h_9.2		-10.841111099803861
1h_11.2		-14.876370521846653
1i_11.2		-3.001144800190659
1i_13.2		-8.489471463987812
1j_15.2		-1.789817337080244
