Legend:         n     l     2j   2mj   2tz   
Orbit number:  1     0   0   1  -1  -1
Orbit number:  2     0   0   1   1  -1
Orbit number:  3     0   0   1  -1   1
Orbit number:  4     0   0   1   1   1
Orbit number:  5     1   0   1  -1  -1
Orbit number:  6     1   0   1   1  -1
Orbit number:  7     1   0   1  -1   1
Orbit number:  8     1   0   1   1   1
Orbit number:  9     2   0   1  -1  -1
Orbit number: 10     2   0   1   1  -1
Orbit number: 11     2   0   1  -1   1
Orbit number: 12     2   0   1   1   1
Orbit number: 13     3   0   1  -1  -1
Orbit number: 14     3   0   1   1  -1
Orbit number: 15     3   0   1  -1   1
Orbit number: 16     3   0   1   1   1
Orbit number: 17     4   0   1  -1  -1
Orbit number: 18     4   0   1   1  -1
Orbit number: 19     4   0   1  -1   1
Orbit number: 20     4   0   1   1   1
Orbit number: 21     5   0   1  -1  -1
Orbit number: 22     5   0   1   1  -1
Orbit number: 23     5   0   1  -1   1
Orbit number: 24     5   0   1   1   1
