Protons:
1s_1.2		-22.066506370902061	0.000000000000000
2s_1.2		-12.200674057006836	0.000000000000000
1p_1.2		-19.170627767918631	2.000000000000000
2p_1.2		-6.442413985729218	2.000000000000000
1p_3.2		-19.458154239109717	4.000000000000000
2p_3.2		-6.837569743394852	4.000000000000000
1d_3.2		-15.182722754310817	4.000000000000000
1d_5.2		-15.805725660407916	6.000000000000000
1f_5.2		-21.663181717507541	6.000000000000000
2f_5.2		-10.263144011783879	6.000000000000000
1f_7.2		-21.772979669272900	8.000000000000000
2f_7.2		-11.337993408436887	8.000000000000000
1g_7.2		-4.562745402392466	8.000000000000000
1g_9.2		-6.198645316995680	10.000000000000000

Neutrons:
1s_1.2		-39.955502281896770	0.000000000000000
2s_1.2		-29.468789875507355	0.000000000000000
3s_1.2		-15.161132812500000	0.000000000000000
1p_1.2		-35.865950842155144	2.000000000000000
2p_1.2		-22.844140701927245	2.000000000000000
3p_1.2		-7.575392007827759	2.000000000000000
1p_3.2		-36.051026819448452	4.000000000000000
2p_3.2		-23.210961520671844	4.000000000000000
3p_3.2		-8.026072025299072	4.000000000000000
1d_3.2		-30.938707738590892	4.000000000000000
2d_3.2		-15.887320520821959	4.000000000000000
1d_5.2		-31.396144956350327	6.000000000000000
2d_5.2		-16.620665758149698	6.000000000000000
1f_5.2		-25.240783696877770	6.000000000000000
2f_5.2		-8.686107554531191	6.000000000000000
1f_7.2		-26.098445568000898	8.000000000000000
2f_7.2		-9.836777146207169	8.000000000000000
1g_7.2		-18.858922834740952	8.000000000000000
1g_9.2		-20.242888266511727	10.000000000000000
1h_9.2		-11.879663904313929	10.000000000000000
1h_11.2		-13.904375659418292	12.000000000000000
1i_13.2		-7.156708713795524	14.000000000000000
