0	-nan	-nan	-nan
1.45	0.074298	0.0142977	0.0600003
1.46	0.074979	0.0144661	0.0605129
1.47	0.075657	0.0146347	0.0610223
1.48	0.0763321	0.0148038	0.0615284
1.49	0.0770042	0.0149731	0.062031
1.5	0.0776731	0.0151428	0.0625303
1.51	0.0783388	0.0153128	0.063026
1.52	0.0790011	0.015483	0.0635181
1.53	0.0796601	0.0156535	0.0640067
1.54	0.0803157	0.0158242	0.0644915
1.55	0.0809677	0.0159952	0.0649725
1.56	0.0816162	0.0161664	0.0654498
1.57	0.0822609	0.0163378	0.0659231
1.58	0.082902	0.0165094	0.0663926
1.59	0.0835392	0.0166812	0.0668581
1.6	0.0841726	0.0168531	0.0673195
1.61	0.084802	0.0170251	0.0677769
1.62	0.0854275	0.0171973	0.0682302
1.63	0.0860488	0.0173696	0.0686793
1.64	0.0866661	0.0175419	0.0691242
1.65	0.0872792	0.0177144	0.0695648
1.66	0.087888	0.0178869	0.0700012
1.67	0.0884926	0.0180594	0.0704332
1.68	0.0890928	0.018232	0.0708609
1.69	0.0896887	0.0184046	0.0712841
1.7	0.09028	0.0185771	0.0717029
1.71	0.0908669	0.0187497	0.0721172
1.72	0.0914493	0.0189222	0.0725271
1.73	0.092027	0.0190947	0.0729323
1.74	0.0926002	0.0192671	0.0733331
1.75	0.0931686	0.0194394	0.0737292
1.76	0.0937324	0.0196117	0.0741207
1.77	0.0942914	0.0197838	0.0745076
1.78	0.0948456	0.0199558	0.0748898
1.79	0.095395	0.0201276	0.0752674
1.8	0.0959395	0.0202993	0.0756402
1.81	0.0964791	0.0204708	0.0760083
1.82	0.0970138	0.0206421	0.0763717
1.83	0.0975435	0.0208132	0.0767303
1.84	0.0980683	0.0209841	0.0770842
1.85	0.098588	0.0211547	0.0774333
1.86	0.0991027	0.0213251	0.0777776
1.87	0.0996124	0.0214952	0.0781171
1.88	0.100117	0.0216651	0.0784519
1.89	0.100616	0.0218346	0.0787818
1.9	0.101111	0.0220038	0.0791069
1.91	0.1016	0.0221727	0.0794273
1.92	0.102084	0.0223413	0.0797428
1.93	0.102563	0.0225095	0.0800535
1.94	0.103037	0.0226773	0.0803594
1.95	0.103505	0.0228448	0.0806605
1.96	0.103969	0.0230118	0.0809568
1.97	0.104427	0.0231784	0.0812483
1.98	0.10488	0.0233446	0.081535
1.99	0.105327	0.0235104	0.081817
2	0.10577	0.0236757	0.0820942
2.01	0.106207	0.0238405	0.0823667
2.02	0.106639	0.0240048	0.0826344
2.03	0.107066	0.0241687	0.0828974
2.04	0.107488	0.024332	0.0831558
2.05	0.107904	0.0244948	0.0834094
2.06	0.108315	0.024657	0.0836583
2.07	0.108721	0.0248187	0.0839027
2.08	0.109122	0.0249798	0.0841424
2.09	0.109518	0.0251404	0.0843775
2.1	0.109908	0.0253003	0.084608
2.11	0.110294	0.0254597	0.084834
2.12	0.110674	0.0256184	0.0850554
2.13	0.111049	0.0257765	0.0852724
2.14	0.111419	0.0259339	0.0854848
2.15	0.111784	0.0260907	0.0856929
2.16	0.112143	0.0262469	0.0858965
2.17	0.112498	0.0264023	0.0860958
2.18	0.112848	0.026557	0.0862907
2.19	0.113192	0.0267111	0.0864813
2.2	0.113532	0.0268644	0.0866677
2.21	0.113867	0.027017	0.0868498
2.22	0.114197	0.0271689	0.0870277
2.23	0.114521	0.02732	0.0872014
2.24	0.114841	0.0274703	0.087371
2.25	0.115156	0.0276199	0.0875366
2.26	0.115467	0.0277687	0.0876981
2.27	0.115772	0.0279167	0.0878556
2.28	0.116073	0.0280639	0.0880091
2.29	0.116369	0.0282103	0.0881587
2.3	0.11666	0.0283559	0.0883045
2.31	0.116947	0.0285006	0.0884464
2.32	0.117229	0.0286445	0.0885846
2.33	0.117507	0.0287876	0.088719
2.34	0.117779	0.0289298	0.0888497
2.35	0.118048	0.0290711	0.0889768
2.36	0.118312	0.0292115	0.0891003
2.37	0.118571	0.0293511	0.0892203
2.38	0.118826	0.0294898	0.0893367
2.39	0.119077	0.0296275	0.0894497
2.4	0.119324	0.0297644	0.0895594
2.41	0.119566	0.0299003	0.0896657
2.42	0.119804	0.0300354	0.0897686
