0	0	-nan	-50.9993	-nan	inf	22.2927
0.91	4.15481	-50.9973	-50.9974	0	5.72818e-05	22.0906
0.92	4.19784	-50.9973	-50.9973	0	5.75111e-05	22.0861
0.93	4.24079	-50.9972	-50.9973	0	5.77481e-05	22.0816
0.94	4.28366	-50.9972	-50.9973	0	5.79928e-05	22.0771
0.95	4.32644	-50.9972	-50.9972	0	5.82451e-05	22.0724
0.96	4.36913	-50.9971	-50.9972	0	5.8505e-05	22.0678
0.97	4.41173	-50.9971	-50.9971	0	5.87725e-05	22.0631
0.98	4.45424	-50.997	-50.9971	0	5.90474e-05	22.0583
0.99	4.49667	-50.997	-50.997	0	5.93298e-05	22.0535
1	4.539	-50.9969	-50.997	0	5.96197e-05	22.0486
1.01	4.58124	-50.9969	-50.9969	0	5.99169e-05	22.0437
1.02	4.62338	-50.9968	-50.9969	0	6.02215e-05	22.0388
1.03	4.66544	-50.9968	-50.9969	0	6.05335e-05	22.0338
1.04	4.7074	-50.9967	-50.9968	0	6.08529e-05	22.0287
1.05	4.74926	-50.9967	-50.9968	0	6.11796e-05	22.0236
1.06	4.79103	-50.9966	-50.9967	0	6.15136e-05	22.0185
1.07	4.8327	-50.9966	-50.9967	0	6.18549e-05	22.0133
1.08	4.87427	-50.9965	-50.9966	0	6.22036e-05	22.008
1.09	4.91575	-50.9965	-50.9966	0	6.25596e-05	22.0027
1.1	4.95712	-50.9964	-50.9965	0	6.29229e-05	21.9974
1.11	4.9984	-50.9964	-50.9965	0	6.32936e-05	21.992
1.12	5.03957	-50.9963	-50.9964	0	6.36716e-05	21.9865
1.13	5.08064	-50.9963	-50.9963	0	6.40569e-05	21.9811
1.14	5.12161	-50.9962	-50.9963	0	6.44497e-05	21.9755
1.15	5.16248	-50.9962	-50.9962	0	6.48498e-05	21.9699
1.16	5.20324	-50.9961	-50.9962	0	6.52574e-05	21.9643
1.17	5.24389	-50.9961	-50.9961	0	6.56724e-05	21.9586
1.18	5.28444	-50.996	-50.9961	0	6.60949e-05	21.9529
1.19	5.32489	-50.9959	-50.996	0	6.65249e-05	21.9471
1.2	5.36522	-50.9959	-50.9959	0	6.69623e-05	21.9412
1.21	5.40545	-50.9958	-50.9959	0	6.74074e-05	21.9354
1.22	5.44557	-50.9958	-50.9958	0	6.786e-05	21.9294
1.23	5.48557	-50.9957	-50.9958	0	6.83203e-05	21.9234
1.24	5.52547	-50.9956	-50.9957	0	6.87882e-05	21.9174
1.25	5.56525	-50.9956	-50.9956	0	6.92638e-05	21.9113
1.26	5.60492	-50.9955	-50.9956	0	6.97472e-05	21.9052
1.27	5.64448	-50.9954	-50.9955	0	7.02384e-05	21.899
1.28	5.68393	-50.9954	-50.9954	0	7.07374e-05	21.8928
1.29	5.72326	-50.9953	-50.9954	0	7.12443e-05	21.8865
1.3	5.76247	-50.9952	-50.9953	0	7.17592e-05	21.8802
1.31	5.80157	-50.9952	-50.9952	0	7.2282e-05	21.8738
1.32	5.84055	-50.9951	-50.9952	0	7.28129e-05	21.8674
1.33	5.87941	-50.995	-50.9951	0	7.33519e-05	21.861
1.34	5.91815	-50.9949	-50.995	0	7.38991e-05	21.8544
1.35	5.95677	-50.9949	-50.9949	0	7.44545e-05	21.8479
1.36	5.99527	-50.9948	-50.9949	0	7.50182e-05	21.8413
1.37	6.03366	-50.9947	-50.9948	0	7.55902e-05	21.8346
