     -39.953275 1 0  0.5
     -36.110236 1 1  0.5
     -35.742488 1 1 -0.5
     -31.580687 1 2  0.5
     -30.670609 1 2 -0.5
     -29.460938 2 0  0.5
     -26.476824 1 3  0.5
     -24.768776 1 3 -0.5
     -23.323680 2 1  0.5
     -22.591980 2 1 -0.5
     -20.881534 1 4  0.5
     -18.123496 1 4 -0.5
     -16.902029 2 2  0.5
     -15.437390 2 2 -0.5
     -15.146964 3 0  0.5
     -14.860523 1 5  0.5
     -10.823966 1 5 -0.5
     -10.311192 2 3  0.5
      -8.470319 1 6  0.5
      -8.159163 3 1  0.5
      -8.010943 2 3 -0.5
      -7.256769 3 1 -0.5
      -3.715314 2 4  0.5
      -2.980550 1 6 -0.5
      -1.842855 3 2  0.5
      -1.767375 2 7  0.5
      -1.239827 4 0  0.5
      -0.688001 2 4 -0.5
      -0.618930 3 2 -0.5
