0.01	2.73591e-19	7.48523e-34
0.02	-4.04916e-18	4.09893e-32
0.03	-3.48455e-16	1.34912e-28
0.04	-3.35363e-15	7.02926e-27
0.05	-1.7626e-14	1.24271e-25
0.06	-6.63264e-14	1.222e-24
0.07	-2.00726e-13	8.22266e-24
0.08	-5.20371e-13	4.23103e-23
0.09	-1.20116e-12	1.78122e-22
0.1	-2.53267e-12	6.41441e-22
0.11	-4.96599e-12	2.03811e-21
0.12	-9.17346e-12	5.84392e-21
0.13	-1.61215e-11	1.53788e-20
0.14	-2.71577e-11	3.76297e-20
0.15	-4.41143e-11	8.6492e-20
0.16	-6.94276e-11	1.88289e-19
0.17	-1.06276e-10	3.9082e-19
0.18	-1.5874e-10	7.77732e-19
0.19	-2.31978e-10	1.49068e-18
0.2	-3.32426e-10	2.76268e-18
0.21	-4.68027e-10	4.96711e-18
0.22	-6.48475e-10	8.68842e-18
0.23	-8.85488e-10	1.48221e-17
0.24	-1.19311e-09	2.47138e-17
0.25	-1.58805e-09	4.03506e-17
0.26	-2.09002e-09	6.46184e-17
0.27	-2.72215e-09	1.01648e-16
0.28	-3.51138e-09	1.57267e-16
0.29	-4.48893e-09	2.39601e-16
0.3	-5.69079e-09	3.59834e-16
0.31	-7.15824e-09	5.33198e-16
0.32	-8.93839e-09	7.80223e-16
0.33	-1.10848e-08	1.12831e-15
0.34	-1.36582e-08	1.61371e-15
0.35	-1.67268e-08	2.28396e-15
0.36	-2.03676e-08	3.20091e-15
0.37	-2.46665e-08	4.4444e-15
0.38	-2.97198e-08	6.1168e-15
0.39	-3.56343e-08	8.34847e-15
0.4	-4.25287e-08	1.13043e-14
0.41	-5.05343e-08	1.51916e-14
0.42	-5.97961e-08	2.02697e-14
0.43	-7.04738e-08	2.68607e-14
0.44	-8.27427e-08	3.53634e-14
0.45	-9.67952e-08	4.62682e-14
0.46	-1.12841e-07	6.01758e-14
0.47	-1.31111e-07	7.78186e-14
0.48	-1.51854e-07	1.00085e-13
0.49	-1.75343e-07	1.28051e-13
0.5	-2.01871e-07	1.63008e-13
0.51	-2.3176e-07	2.06508e-13
0.52	-2.65355e-07	2.60405e-13
0.53	-3.0303e-07	3.26904e-13
0.54	-3.45188e-07	4.08623e-13
0.55	-3.92261e-07	5.08657e-13
0.56	-4.44717e-07	6.30656e-13
0.57	-5.03057e-07	7.78906e-13
0.58	-5.67817e-07	9.58432e-13
0.59	-6.39573e-07	1.1751e-12
0.6	-7.18939e-07	1.43576e-12
0.61	-8.06573e-07	1.74835e-12
0.62	-9.03176e-07	2.12208e-12
0.63	-1.0095e-06	2.5676e-12
0.64	-1.12633e-06	3.0972e-12
0.65	-1.25452e-06	3.725e-12
0.66	-1.39496e-06	4.46723e-12
0.67	-1.54863e-06	5.34248e-12
0.68	-1.71651e-06	6.37199e-12
0.69	-1.89969e-06	7.57999e-12
0.7	-2.09931e-06	8.99407e-12
0.71	-2.31656e-06	1.06456e-11
0.72	-2.55271e-06	1.257e-11
0.73	-2.8091e-06	1.48077e-11
0.74	-3.08714e-06	1.7404e-11
0.75	-3.38833e-06	2.04103e-11
0.76	-3.71423e-06	2.38842e-11
0.77	-4.0665e-06	2.78907e-11
0.78	-4.44686e-06	3.25026e-11
0.79	-4.85715e-06	3.78015e-11
0.8	-5.29928e-06	4.38786e-11
0.81	-5.77526e-06	5.08362e-11
0.82	-6.2872e-06	5.87878e-11
0.83	-6.83732e-06	6.78602e-11
0.84	-7.42792e-06	7.81945e-11
0.85	-8.06144e-06	8.99472e-11
0.86	-8.74041e-06	1.03292e-10
0.87	-9.46749e-06	1.18422e-10
0.88	-1.02454e-05	1.35549e-10
0.89	-1.10772e-05	1.54909e-10
0.9	-1.19657e-05	1.76762e-10
0.91	-1.29141e-05	2.01394e-10
0.92	-1.39258e-05	2.2912e-10
0.93	-1.50041e-05	2.60288e-10
0.94	-1.61527e-05	2.95279e-10
0.95	-1.73751e-05	3.3451e-10
0.96	-1.86754e-05	3.78441e-10
0.97	-2.00575e-05	4.27574e-10
0.98	-2.15256e-05	4.82458e-10
0.99	-2.30841e-05	5.43694e-10
1	-2.47374e-05	6.11937e-10
1.01	-2.64902e-05	6.87903e-10
1.02	-2.83474e-05	7.72372e-10
1.03	-3.03141e-05	8.66191e-10
1.04	-3.23954e-05	9.70284e-10
1.05	-3.45967e-05	1.08565e-09
1.06	-3.69238e-05	1.21339e-09
1.07	-3.93824e-05	1.35468e-09
1.08	-4.19784e-05	1.51079e-09
1.09	-4.47182e-05	1.68312e-09
1.1	-4.76082e-05	1.87317e-09
1.11	-5.0655e-05	2.08257e-09
1.12	-5.38655e-05	2.31305e-09
1.13	-5.72469e-05	2.56653e-09
1.14	-6.08064e-05	2.84504e-09
1.15	-6.45516e-05	3.15078e-09
1.16	-6.84905e-05	3.48613e-09
1.17	-7.26309e-05	3.85364e-09
1.18	-7.69814e-05	4.25606e-09
1.19	-8.15504e-05	4.69633e-09
1.2	-8.63469e-05	5.17763e-09
1.21	-9.13799e-05	5.70336e-09
1.22	-9.66589e-05	6.27717e-09
1.23	-0.000102193	6.90297e-09
1.24	-0.000107994	7.58495e-09
1.25	-0.00011407	8.3276e-09
1.26	-0.000120432	9.13573e-09
1.27	-0.000127092	1.00145e-08
1.28	-0.00013406	1.09693e-08
1.29	-0.000141348	1.2006e-08
1.3	-0.000148967	1.31309e-08
1.31	-0.000156931	1.43507e-08
1.32	-0.000165251	1.56725e-08
1.33	-0.000173939	1.71038e-08
1.34	-0.00018301	1.86527e-08
