0	0	-nan	-44.0186	-nan	inf	22.2927
0.9	0.322885	-44.0169	-44.017	0	5.70603e-05	22.095
0.91	0.324169	-44.0168	-44.017	0	5.72818e-05	22.0906
0.92	0.325386	-44.0168	-44.0169	0	5.75111e-05	22.0861
0.93	0.326536	-44.0168	-44.0169	0	5.77481e-05	22.0816
0.94	0.327618	-44.0167	-44.0169	0	5.79928e-05	22.0771
0.95	0.328632	-44.0167	-44.0168	0	5.82451e-05	22.0724
0.96	0.329579	-44.0167	-44.0168	0	5.8505e-05	22.0678
0.97	0.330457	-44.0166	-44.0167	0	5.87725e-05	22.0631
0.98	0.331267	-44.0166	-44.0167	0	5.90474e-05	22.0583
0.99	0.332008	-44.0166	-44.0167	0	5.93298e-05	22.0535
1	0.332681	-44.0165	-44.0166	0	5.96197e-05	22.0486
1.01	0.333285	-44.0165	-44.0166	0	5.99169e-05	22.0437
1.02	0.33382	-44.0164	-44.0166	0	6.02215e-05	22.0388
1.03	0.334286	-44.0164	-44.0165	0	6.05335e-05	22.0338
1.04	0.334683	-44.0164	-44.0165	0	6.08529e-05	22.0287
1.05	0.33501	-44.0163	-44.0164	0	6.11796e-05	22.0236
1.06	0.335269	-44.0163	-44.0164	0	6.15136e-05	22.0185
1.07	0.335458	-44.0162	-44.0163	0	6.18549e-05	22.0133
1.08	0.335577	-44.0162	-44.0163	0	6.22036e-05	22.008
1.09	0.335628	-44.0161	-44.0163	0	6.25596e-05	22.0027
1.1	0.335608	-44.0161	-44.0162	0	6.29229e-05	21.9974
1.11	0.33552	-44.016	-44.0162	0	6.32936e-05	21.992
1.12	0.335362	-44.016	-44.0161	0	6.36716e-05	21.9865
1.13	0.335134	-44.0159	-44.0161	0	6.40569e-05	21.9811
1.14	0.334838	-44.0159	-44.016	0	6.44497e-05	21.9755
1.15	0.334472	-44.0159	-44.016	0	6.48498e-05	21.9699
1.16	0.334037	-44.0158	-44.0159	0	6.52574e-05	21.9643
1.17	0.333533	-44.0158	-44.0159	0	6.56724e-05	21.9586
1.18	0.332959	-44.0157	-44.0158	0	6.60949e-05	21.9529
1.19	0.332317	-44.0156	-44.0158	0	6.65249e-05	21.9471
1.2	0.331607	-44.0156	-44.0157	0	6.69623e-05	21.9412
1.21	0.330827	-44.0155	-44.0157	0	6.74074e-05	21.9354
1.22	0.32998	-44.0155	-44.0156	0	6.786e-05	21.9294
1.23	0.329064	-44.0154	-44.0156	0	6.83203e-05	21.9234
1.24	0.32808	-44.0154	-44.0155	0	6.87882e-05	21.9174
1.25	0.327028	-44.0153	-44.0155	0	6.92638e-05	21.9113
1.26	0.325908	-44.0153	-44.0154	0	6.97472e-05	21.9052
1.27	0.324721	-44.0152	-44.0153	0	7.02384e-05	21.899
1.28	0.323467	-44.0151	-44.0153	0	7.07374e-05	21.8928
1.29	0.322146	-44.0151	-44.0152	0	7.12443e-05	21.8865
1.3	0.320758	-44.015	-44.0152	0	7.17592e-05	21.8802
1.31	0.319304	-44.015	-44.0151	0	7.2282e-05	21.8738
1.32	0.317784	-44.0149	-44.015	0	7.28129e-05	21.8674
1.33	0.316199	-44.0148	-44.015	0	7.33519e-05	21.861
1.34	0.314548	-44.0148	-44.0149	0	7.38991e-05	21.8544
1.35	0.312832	-44.0147	-44.0149	0	7.44545e-05	21.8479
1.36	0.311051	-44.0146	-44.0148	0	7.50182e-05	21.8413
1.37	0.309205	-44.0146	-44.0147	0	7.55902e-05	21.8346
1.38	0.307296	-44.0145	-44.0147	0	7.61706e-05	21.8279
1.39	0.305324	-44.0144	-44.0146	0	7.67596e-05	21.8211
1.4	0.303288	-44.0144	-44.0145	0	7.73571e-05	21.8143
1.41	0.301189	-44.0143	-44.0144	0	7.79632e-05	21.8075
1.42	0.299028	-44.0142	-44.0144	0	7.8578e-05	21.8005
1.43	0.296806	-44.0141	-44.0143	0	7.92016e-05	21.7936
1.44	0.294522	-44.0141	-44.0142	0	7.9834e-05	21.7866
1.45	0.292177	-44.014	-44.0141	0	8.04753e-05	21.7795
1.46	0.289771	-44.0139	-44.0141	0	8.11257e-05	21.7724
1.47	0.287306	-44.0138	-44.014	0	8.17852e-05	21.7653
1.48	0.284781	-44.0137	-44.0139	0	8.24538e-05	21.7581
1.49	0.282198	-44.0137	-44.0138	0	8.31317e-05	21.7508
1.5	0.279556	-44.0136	-44.0138	0	8.38189e-05	21.7435
1.51	0.276856	-44.0135	-44.0137	0	8.45155e-05	21.7362
1.52	0.274099	-44.0134	-44.0136	0	8.52217e-05	21.7288
1.53	0.271285	-44.0133	-44.0135	0	8.59375e-05	21.7213
1.54	0.268415	-44.0132	-44.0134	0	8.6663e-05	21.7138
1.55	0.26549	-44.0132	-44.0133	0	8.73983e-05	21.7063
1.56	0.262509	-44.0131	-44.0132	0	8.81435e-05	21.6987
1.57	0.259475	-44.013	-44.0132	0	8.88987e-05	21.6911
1.58	0.256387	-44.0129	-44.0131	0	8.96641e-05	21.6834
1.59	0.253245	-44.0128	-44.013	0	9.04396e-05	21.6756
1.6	0.250052	-44.0127	-44.0129	0	9.12254e-05	21.6679
1.61	0.246806	-44.0126	-44.0128	0	9.20217e-05	21.66
1.62	0.24351	-44.0125	-44.0127	0	9.28284e-05	21.6521
1.63	0.240163	-44.0124	-44.0126	0	9.36458e-05	21.6442
1.64	0.236767	-44.0123	-44.0125	0	9.4474e-05	21.6362
1.65	0.233322	-44.0122	-44.0124	0	9.5313e-05	21.6282
1.66	0.229828	-44.0121	-44.0123	0	9.6163e-05	21.6201
1.67	0.226287	-44.012	-44.0122	0	9.70241e-05	21.612
1.68	0.222699	-44.0119	-44.0121	0	9.78964e-05	21.6038
1.69	0.219065	-44.0118	-44.012	0	9.878e-05	21.5956
1.7	0.215386	-44.0116	-44.0119	0	9.96751e-05	21.5873
1.71	0.211662	-44.0115	-44.0117	0	0.000100582	21.579
1.72	0.207894	-44.0114	-44.0116	0	0.0001015	21.5706
1.73	0.204084	-44.0113	-44.0115	0	0.00010243	21.5622
1.74	0.200231	-44.0112	-44.0114	0	0.000103373	21.5537
1.75	0.196337	-44.0111	-44.0113	0	0.000104327	21.5452
1.76	0.192402	-44.0109	-44.0112	0	0.000105293	21.5366
1.77	0.188427	-44.0108	-44.011	0	0.000106272	21.528
1.78	0.184414	-44.0107	-44.0109	0	0.000107264	21.5193
1.79	0.180362	-44.0106	-44.0108	0	0.000108268	21.5106
1.8	0.176273	-44.0104	-44.0107	0	0.000109285	21.5019
1.81	0.172148	-44.0103	-44.0105	0	0.000110315	21.4931
1.82	0.167987	-44.0102	-44.0104	0	0.000111358	21.4842
1.83	0.163791	-44.01	-44.0103	0	0.000112414	21.4753
1.84	0.159561	-44.0099	-44.0101	0	0.000113483	21.4663
1.85	0.155299	-44.0098	-44.01	0	0.000114566	21.4573
1.86	0.151004	-44.0096	-44.0099	0	0.000115663	21.4483
1.87	0.146678	-44.0095	-44.0097	0	0.000116774	21.4392
1.88	0.142321	-44.0093	-44.0096	0	0.000117899	21.43
1.89	0.137936	-44.0092	-44.0094	0	0.000119038	21.4208
1.9	0.133521	-44.009	-44.0093	0	0.000120191	21.4116
1.91	0.12908	-44.0089	-44.0091	0	0.000121359	21.4023
1.92	0.124611	-44.0087	-44.009	0	0.000122541	21.3929
1.93	0.120117	-44.0086	-44.0088	0	0.000123739	21.3835
1.94	0.115598	-44.0084	-44.0087	0	0.000124951	21.3741
1.95	0.111054	-44.0083	-44.0085	0	0.000126179	21.3646
1.96	0.106488	-44.0081	-44.0084	0	0.000127422	21.355
1.97	0.1019	-44.0079	-44.0082	0	0.00012868	21.3454
1.98	0.0972912	-44.0078	-44.008	0	0.000129954	21.3358
1.99	0.092662	-44.0076	-44.0079	0	0.000131245	21.3261
2	0.0880136	-44.0074	-44.0077	0	0.000132551	21.3164
2.01	0.083347	-44.0072	-44.0075	0	0.000133874	21.3066
2.02	0.0786631	-44.0071	-44.0073	0	0.000135213	21.2967
2.03	0.073963	-44.0069	-44.0072	0	0.000136569	21.2868
2.04	0.0692476	-44.0067	-44.007	0	0.000137942	21.2769
2.05	0.0645179	-44.0065	-44.0068	0	0.000139332	21.2669
2.06	0.0597749	-44.0063	-44.0066	0	0.00014074	21.2569
2.07	0.0550194	-44.0061	-44.0064	0	0.000142165	21.2468
2.08	0.0502526	-44.0059	-44.0062	0	0.000143608	21.2367
2.09	0.0454755	-44.0057	-44.006	0	0.000145068	21.2265
2.1	0.0406889	-44.0055	-44.0058	0	0.000146547	21.2163
2.11	0.0358939	-44.0053	-44.0056	0	0.000148045	21.206
2.12	0.0310914	-44.0051	-44.0054	0	0.000149561	21.1957
2.13	0.0262826	-44.0049	-44.0052	0	0.000151095	21.1853
2.14	0.0214683	-44.0047	-44.005	0	0.000152649	21.1749
2.15	0.0166496	-44.0045	-44.0048	0	0.000154223	21.1644
2.16	0.0118274	-44.0043	-44.0046	0	0.000155815	21.1539
2.17	0.0070028	-44.004	-44.0044	0	0.000157428	21.1433
2.18	0.00217674	-44.0038	-44.0041	0	0.000159061	21.1327
2.19	-0.00264977	-44.0036	-44.0039	0	0.000160714	21.122
2.2	-0.00747573	-44.0033	-44.0037	0	0.000162387	21.1113
2.21	-0.0123001	-44.0031	-44.0034	0	0.000164082	21.1006
2.22	-0.017122	-44.0029	-44.0032	0	0.000165797	21.0897
2.23	-0.0219404	-44.0026	-44.003	0	0.000167533	21.0789
2.24	-0.0267542	-44.0024	-44.0027	0	0.000169292	21.068
2.25	-0.0315624	-44.0021	-44.0025	0	0.000171072	21.057
2.26	-0.0363642	-44.0019	-44.0022	0	0.000172874	21.046
2.27	-0.0411584	-44.0016	-44.002	0	0.000174698	21.0349
2.28	-0.0459441	-44.0013	-44.0017	0	0.000176546	21.0238
2.29	-0.0507203	-44.0011	-44.0014	0	0.000178416	21.0127
2.3	-0.055486	-44.0008	-44.0012	0	0.000180309	21.0015
2.31	-0.0602403	-44.0005	-44.0009	0	0.000182226	20.9902
2.32	-0.0649821	-44.0002	-44.0006	0	0.000184166	20.9789
2.33	-0.0697105	-44	-44.0003	0	0.000186131	20.9676
2.34	-0.0744244	-43.9997	-44.0001	0	0.00018812	20.9562
2.35	-0.079123	-43.9994	-43.9998	0	0.000190134	20.9447
2.36	-0.0838052	-43.9991	-43.9995	0	0.000192173	20.9332
2.37	-0.0884701	-43.9988	-43.9992	0	0.000194237	20.9217
2.38	-0.0931167	-43.9985	-43.9989	0	0.000196327	20.9101
2.39	-0.097744	-43.9982	-43.9986	0	0.000198442	20.8984
2.4	-0.102351	-43.9979	-43.9983	0	0.000200584	20.8868
2.41	-0.106937	-43.9975	-43.9979	0	0.000202753	20.875
2.42	-0.111501	-43.9972	-43.9976	0	0.000204948	20.8632
2.43	-0.116042	-43.9969	-43.9973	0	0.000207171	20.8514
2.44	-0.120559	-43.9965	-43.997	0	0.000209421	20.8395
2.45	-0.125051	-43.9962	-43.9966	0	0.000211699	20.8276
2.46	-0.129517	-43.9959	-43.9963	0	0.000214006	20.8156
2.47	-0.133956	-43.9955	-43.996	0	0.000216341	20.8035
2.48	-0.138368	-43.9952	-43.9956	0	0.000218706	20.7915
2.49	-0.142751	-43.9948	-43.9952	0	0.000221099	20.7793
2.5	-0.147104	-43.9944	-43.9949	0	0.000223523	20.7671
2.51	-0.151427	-43.9941	-43.9945	0	0.000225976	20.7549
2.52	-0.155719	-43.9937	-43.9942	0	0.00022846	20.7426
2.53	-0.159978	-43.9933	-43.9938	0	0.000230975	20.7303
2.54	-0.164205	-43.9929	-43.9934	0	0.000233521	20.7179
2.55	-0.168398	-43.9925	-43.993	0	0.000236099	20.7055
2.56	-0.172555	-43.9921	-43.9926	0	0.000238709	20.693
