0	0	-nan	-44.0186	-nan	0	22.2927
1.06	0.337996	-21.9979	-44.0164	0	0	22.0185
1.07	0.340594	-22.0031	-44.0163	0	0	22.0133
1.08	0.343176	-22.0083	-44.0163	0	0	22.008
1.09	0.345741	-22.0135	-44.0163	0	0	22.0027
1.1	0.34829	-22.0188	-44.0162	0	0	21.9974
1.11	0.350822	-22.0242	-44.0162	0	0	21.992
1.12	0.353338	-22.0296	-44.0161	0	0	21.9865
1.13	0.355837	-22.035	-44.0161	0	0	21.9811
1.14	0.358319	-22.0405	-44.016	0	0	21.9755
1.15	0.360783	-22.0461	-44.016	0	0	21.9699
1.16	0.36323	-22.0516	-44.0159	0	0	21.9643
1.17	0.36566	-22.0573	-44.0159	0	0	21.9586
1.18	0.368073	-22.063	-44.0158	0	0	21.9529
1.19	0.370468	-22.0687	-44.0158	0	0	21.9471
1.2	0.372845	-22.0745	-44.0157	0	0	21.9412
1.21	0.375204	-22.0803	-44.0157	0	0	21.9354
1.22	0.377545	-22.0862	-44.0156	0	0	21.9294
1.23	0.379868	-22.0921	-44.0156	0	0	21.9234
1.24	0.382173	-22.0981	-44.0155	0	0	21.9174
1.25	0.38446	-22.1041	-44.0155	0	0	21.9113
1.26	0.386728	-22.1102	-44.0154	0	0	21.9052
1.27	0.388977	-22.1163	-44.0153	0	0	21.899
1.28	0.391208	-22.1225	-44.0153	0	0	21.8928
1.29	0.393419	-22.1287	-44.0152	0	0	21.8865
1.3	0.395612	-22.135	-44.0152	0	0	21.8802
1.31	0.397786	-22.1413	-44.0151	0	0	21.8738
1.32	0.399941	-22.1476	-44.015	0	0	21.8674
1.33	0.402076	-22.154	-44.015	0	0	21.861
1.34	0.404192	-22.1605	-44.0149	0	0	21.8544
1.35	0.406288	-22.167	-44.0149	0	0	21.8479
1.36	0.408364	-22.1735	-44.0148	0	0	21.8413
1.37	0.410421	-22.1801	-44.0147	0	0	21.8346
1.38	0.412458	-22.1868	-44.0147	0	0	21.8279
1.39	0.414475	-22.1935	-44.0146	0	0	21.8211
1.4	0.416472	-22.2002	-44.0145	0	0	21.8143
1.41	0.418448	-22.207	-44.0144	0	0	21.8075
1.42	0.420405	-22.2138	-44.0144	0	0	21.8005
1.43	0.422341	-22.2207	-44.0143	0	0	21.7936
1.44	0.424256	-22.2276	-44.0142	0	0	21.7866
1.45	0.42615	-22.2346	-44.0141	0	0	21.7795
1.46	0.428024	-22.2416	-44.0141	0	0	21.7724
1.47	0.429877	-22.2487	-44.014	0	0	21.7653
1.48	0.431709	-22.2558	-44.0139	0	0	21.7581
1.49	0.43352	-22.263	-44.0138	0	0	21.7508
1.5	0.43531	-22.2702	-44.0138	0	0	21.7435
1.51	0.437078	-22.2775	-44.0137	0	0	21.7362
1.52	0.438825	-22.2848	-44.0136	0	0	21.7288
1.53	0.440551	-22.2922	-44.0135	0	0	21.7213
1.54	0.442255	-22.2996	-44.0134	0	0	21.7138
1.55	0.443937	-22.307	-44.0133	0	0	21.7063
1.56	0.445598	-22.3145	-44.0132	0	0	21.6987
1.57	0.447237	-22.3221	-44.0132	0	0	21.6911
1.58	0.448853	-22.3297	-44.0131	0	0	21.6834
1.59	0.450448	-22.3373	-44.013	0	0	21.6756
1.6	0.45202	-22.345	-44.0129	0	0	21.6679
1.61	0.45357	-22.3528	-44.0128	0	0	21.66
1.62	0.455098	-22.3605	-44.0127	0	0	21.6521
1.63	0.456604	-22.3684	-44.0126	0	0	21.6442
1.64	0.458086	-22.3763	-44.0125	0	0	21.6362
1.65	0.459547	-22.3842	-44.0124	0	0	21.6282
1.66	0.460984	-22.3922	-44.0123	0	0	21.6201
1.67	0.462399	-22.4002	-44.0122	0	0	21.612
1.68	0.46379	-22.4083	-44.0121	0	0	21.6038
1.69	0.465159	-22.4164	-44.012	0	0	21.5956
1.7	0.466505	-22.4245	-44.0119	0	0	21.5873
1.71	0.467828	-22.4328	-44.0117	0	0	21.579
1.72	0.469127	-22.441	-44.0116	0	0	21.5706
1.73	0.470403	-22.4493	-44.0115	0	0	21.5622
1.74	0.471655	-22.4577	-44.0114	0	0	21.5537
1.75	0.472885	-22.4661	-44.0113	0	0	21.5452
1.76	0.47409	-22.4745	-44.0112	0	0	21.5366
1.77	0.475272	-22.483	-44.011	0	0	21.528
1.78	0.47643	-22.4916	-44.0109	0	0	21.5193
1.79	0.477564	-22.5002	-44.0108	0	0	21.5106
1.8	0.478675	-22.5088	-44.0107	0	0	21.5019
1.81	0.479761	-22.5175	-44.0105	0	0	21.4931
1.82	0.480824	-22.5262	-44.0104	0	0	21.4842
1.83	0.481862	-22.535	-44.0103	0	0	21.4753
1.84	0.482877	-22.5438	-44.0101	0	0	21.4663
