     0.00000000-13949.30883747-13760.57994688
     0.03000000-13949.30883747-13760.57994688
     0.06000000-13522.67361766-13700.13989777
     0.09000000-13545.63835250-13805.26235172
     0.12000000-13613.87822707-13902.57758934
     0.15000000-13564.97982980-13855.55830715
     0.18000000-13254.61310941-13518.55293708
     0.21000000-12532.02904261-12730.64370306
     0.24000000-11246.30883292-11325.39934691
     0.27000000 -9263.85874536 -9149.30225983
     0.30000000 -6488.33860369 -6082.36537712
     0.33000000 -2860.81759683 -2039.68237081
     0.36000000  1708.17021852  3093.38732748
     0.39000000  7516.02254015  9631.69185056
     0.42000000 15230.70069020 18237.93911833
     0.45000000 25564.98947046 29568.35951168
     0.48000000 38050.51594773 43007.57684498
     0.51000000 49754.34186269 55369.45360585
     0.54000000 55818.52958001 61516.20525053
     0.57000000 51470.93738353 56586.98919065
     0.60000000 32058.68927888 36262.43983815
     0.63000000 -3491.09657702    89.31710277
     0.66000000-34665.05032582-31394.96366270
     0.69000000-31376.54703164-29203.94863635
     0.72000000 -5240.10600367 -4589.21074882
     0.75000000 20149.76703891 20035.22234027
     0.78000000******************************
     0.81000000-80561.75473924-87168.29244728
     0.84000000284710.99103479280731.05365607
     0.87000000******************************
     0.90000000531874.37212794522962.54567803
     0.93000000-98251.27542687***************
     0.96000000******************************
     0.99000000146486.81775682144755.62450688
     1.02000000-77344.95841712-83152.25124123
     1.05000000 46688.54182205 46452.36058405
     1.08000000-14052.79304418-15878.32801199
     1.11000000-39125.31339370-39308.57073589
     1.14000000 13616.24340616 12970.04151227
     1.17000000 38611.38278432 38289.20459702
     1.20000000 -6032.90673604 -7576.74283836
     1.23000000 -9829.76836940-10574.80751948
     1.26000000   322.89300038   130.69818400
     1.29000000  3818.88834285  3624.16434284
     1.32000000 -3488.97341641 -3749.63685069
     1.35000000  -309.61926749  -417.89201438
     1.38000000    55.78127494   -23.70152529
     1.41000000  -357.90500667  -422.12756973
     1.44000000  -208.82740541  -248.03028055
     1.47000000   -75.50096831   -95.42476629
     1.50000000   -32.68617764   -40.10886134
     1.53000000   -23.75076424   -23.15420106
     1.56000000   -24.76037151   -19.17781550
     1.59000000   -29.33859034   -20.84900663
     1.62000000   -35.55089746   -25.54224615
     1.65000000   -42.04575994   -31.40716745
     1.68000000   -47.53118624   -36.80582890
     1.71000000   -51.12922790   -40.63280810
     1.74000000   -52.62784694   -42.53418389
     1.77000000   -52.42011095   -42.81823729
     1.80000000   -51.22435978   -42.15410408
     1.83000000   -49.75996881   -41.23320211
     1.86000000   -48.53304050   -40.54621912
     1.89000000   -47.74263079   -40.28428578
     1.92000000   -47.34015649   -40.39542900
     1.95000000   -47.12851020   -40.68182115
     1.98000000   -46.88313309   -40.91961175
     2.01000000   -46.43065111   -40.93671692
     2.04000000   -45.69220351   -40.65560797
     2.07000000   -44.71087526   -40.12043573
     2.10000000   -43.60813686   -39.45332914
     2.13000000   -42.53188106   -38.80242714
     2.16000000   -41.55618813   -38.24171175
     2.19000000   -40.67700954   -37.76679834
     2.22000000   -39.83219131   -37.31504875
     2.25000000   -38.98230186   -36.84648965
     2.28000000   -38.13552201   -36.36879999
     2.31000000   -37.34324937   -35.93302501
     2.34000000   -36.66682496   -35.60038156
     2.37000000   -36.14579614   -35.41053160
     2.40000000   -35.79203357   -35.37563783
     2.43000000   -35.58889121   -35.47942336
     2.46000000   -35.50624795   -35.69211939
