0	0
0.01	7.11167e-14
0.02	1.42251e-13
0.03	2.13419e-13
0.04	2.84638e-13
0.05	3.55926e-13
0.06	4.27299e-13
0.07	4.98775e-13
0.08	5.70371e-13
0.09	6.42105e-13
0.1	7.13992e-13
0.11	7.86052e-13
0.12	8.583e-13
0.13	9.30755e-13
0.14	1.00343e-12
0.15	1.07635e-12
0.16	1.14953e-12
0.17	1.22299e-12
0.18	1.29674e-12
0.19	1.3708e-12
0.2	1.44519e-12
0.21	1.51993e-12
0.22	1.59503e-12
0.23	1.67052e-12
0.24	1.74641e-12
0.25	1.82272e-12
0.26	1.89947e-12
0.27	1.97668e-12
0.28	2.05436e-12
0.29	2.13253e-12
0.3	2.21122e-12
0.31	2.29044e-12
0.32	2.37021e-12
0.33	2.45055e-12
0.34	2.53148e-12
0.35	2.61302e-12
0.36	2.69518e-12
0.37	2.778e-12
0.38	2.86148e-12
0.39	2.94565e-12
0.4	3.03053e-12
0.41	3.11614e-12
0.42	3.2025e-12
0.43	3.28963e-12
0.44	3.37755e-12
0.45	3.46628e-12
0.46	3.55585e-12
0.47	3.64627e-12
0.48	3.73756e-12
0.49	3.82976e-12
0.5	3.92288e-12
0.51	4.01694e-12
0.52	4.11197e-12
0.53	4.20799e-12
0.54	4.30501e-12
0.55	4.40308e-12
0.56	4.5022e-12
0.57	4.60241e-12
0.58	4.70372e-12
0.59	4.80616e-12
0.6	4.90976e-12
0.61	5.01454e-12
0.62	5.12053e-12
0.63	5.22775e-12
0.64	5.33623e-12
0.65	5.44599e-12
0.66	5.55705e-12
0.67	5.66946e-12
0.68	5.78323e-12
0.69	5.89839e-12
0.7	6.01497e-12
0.71	6.13299e-12
0.72	6.25249e-12
0.73	6.3735e-12
0.74	6.49604e-12
0.75	6.62014e-12
0.76	6.74583e-12
0.77	6.87314e-12
0.78	7.00211e-12
0.79	7.13276e-12
0.8	7.26513e-12
0.81	7.39924e-12
0.82	7.53513e-12
0.83	7.67284e-12
0.84	7.81239e-12
0.85	7.95382e-12
0.86	8.09717e-12
0.87	8.24246e-12
0.88	8.38973e-12
0.89	8.53902e-12
0.9	8.69037e-12
0.91	8.8438e-12
0.92	8.99936e-12
0.93	9.15709e-12
0.94	9.31702e-12
0.95	9.47919e-12
0.96	9.64364e-12
0.97	9.81041e-12
0.98	9.97954e-12
0.99	1.01511e-11
1	1.0325e-11
1.01	1.05015e-11
1.02	1.06805e-11
1.03	1.0862e-11
1.04	1.10462e-11
1.05	1.1233e-11
1.06	1.14225e-11
1.07	1.16148e-11
1.08	1.18098e-11
1.09	1.20077e-11
1.1	1.22085e-11
1.11	1.24123e-11
1.12	1.2619e-11
1.13	1.28287e-11
1.14	1.30415e-11
1.15	1.32575e-11
1.16	1.34767e-11
1.17	1.36991e-11
1.18	1.39247e-11
1.19	1.41538e-11
1.2	1.43862e-11
1.21	1.46221e-11
1.22	1.48616e-11
1.23	1.51046e-11
1.24	1.53512e-11
1.25	1.56015e-11
1.26	1.58556e-11
1.27	1.61135e-11
