0	0	-nan	-44.0186	-nan	0	22.2927
1.06	0.335717	-44.0164	-44.0164	0	0	22.0185
1.07	0.335908	-44.0163	-44.0163	0	0	22.0133
1.08	0.336029	-44.0163	-44.0163	0	0	22.008
1.09	0.336081	-44.0163	-44.0163	0	0	22.0027
1.1	0.336063	-44.0162	-44.0162	0	0	21.9974
1.11	0.335976	-44.0162	-44.0162	0	0	21.992
1.12	0.33582	-44.0161	-44.0161	0	0	21.9865
1.13	0.335594	-44.0161	-44.0161	0	0	21.9811
1.14	0.335299	-44.016	-44.016	0	0	21.9755
1.15	0.334934	-44.016	-44.016	0	0	21.9699
1.16	0.3345	-44.0159	-44.0159	0	0	21.9643
1.17	0.333997	-44.0159	-44.0159	0	0	21.9586
1.18	0.333425	-44.0158	-44.0158	0	0	21.9529
1.19	0.332784	-44.0158	-44.0158	0	0	21.9471
1.2	0.332075	-44.0157	-44.0157	0	0	21.9412
1.21	0.331296	-44.0157	-44.0157	0	0	21.9354
1.22	0.330449	-44.0156	-44.0156	0	0	21.9294
1.23	0.329534	-44.0156	-44.0156	0	0	21.9234
1.24	0.328551	-44.0155	-44.0155	0	0	21.9174
1.25	0.3275	-44.0155	-44.0155	0	0	21.9113
1.26	0.326381	-44.0154	-44.0154	0	0	21.9052
1.27	0.325194	-44.0153	-44.0153	0	0	21.899
1.28	0.323941	-44.0153	-44.0153	0	0	21.8928
1.29	0.32262	-44.0152	-44.0152	0	0	21.8865
1.3	0.321233	-44.0152	-44.0152	0	0	21.8802
1.31	0.319779	-44.0151	-44.0151	0	0	21.8738
1.32	0.318259	-44.015	-44.015	0	0	21.8674
1.33	0.316674	-44.015	-44.015	0	0	21.861
1.34	0.315023	-44.0149	-44.0149	0	0	21.8544
1.35	0.313306	-44.0149	-44.0149	0	0	21.8479
1.36	0.311525	-44.0148	-44.0148	0	0	21.8413
1.37	0.30968	-44.0147	-44.0147	0	0	21.8346
1.38	0.307771	-44.0147	-44.0147	0	0	21.8279
1.39	0.305798	-44.0146	-44.0146	0	0	21.8211
1.4	0.303762	-44.0145	-44.0145	0	0	21.8143
1.41	0.301663	-44.0144	-44.0144	0	0	21.8075
1.42	0.299501	-44.0144	-44.0144	0	0	21.8005
1.43	0.297278	-44.0143	-44.0143	0	0	21.7936
1.44	0.294993	-44.0142	-44.0142	0	0	21.7866
1.45	0.292648	-44.0141	-44.0141	0	0	21.7795
1.46	0.290241	-44.0141	-44.0141	0	0	21.7724
1.47	0.287775	-44.014	-44.014	0	0	21.7653
1.48	0.28525	-44.0139	-44.0139	0	0	21.7581
1.49	0.282665	-44.0138	-44.0138	0	0	21.7508
1.5	0.280022	-44.0138	-44.0138	0	0	21.7435
1.51	0.277321	-44.0137	-44.0137	0	0	21.7362
1.52	0.274563	-44.0136	-44.0136	0	0	21.7288
1.53	0.271748	-44.0135	-44.0135	0	0	21.7213
1.54	0.268876	-44.0134	-44.0134	0	0	21.7138
1.55	0.265949	-44.0133	-44.0133	0	0	21.7063
1.56	0.262968	-44.0132	-44.0132	0	0	21.6987
1.57	0.259932	-44.0132	-44.0132	0	0	21.6911
1.58	0.256842	-44.0131	-44.0131	0	0	21.6834
1.59	0.253699	-44.013	-44.013	0	0	21.6756
1.6	0.250503	-44.0129	-44.0129	0	0	21.6679
1.61	0.247256	-44.0128	-44.0128	0	0	21.66
1.62	0.243958	-44.0127	-44.0127	0	0	21.6521
1.63	0.240609	-44.0126	-44.0126	0	0	21.6442
1.64	0.237211	-44.0125	-44.0125	0	0	21.6362
1.65	0.233763	-44.0124	-44.0124	0	0	21.6282
1.66	0.230267	-44.0123	-44.0123	0	0	21.6201
1.67	0.226724	-44.0122	-44.0122	0	0	21.612
1.68	0.223134	-44.0121	-44.0121	0	0	21.6038
1.69	0.219497	-44.012	-44.012	0	0	21.5956
1.7	0.215816	-44.0119	-44.0119	0	0	21.5873
1.71	0.212089	-44.0117	-44.0117	0	0	21.579
1.72	0.208319	-44.0116	-44.0116	0	0	21.5706
1.73	0.204506	-44.0115	-44.0115	0	0	21.5622
1.74	0.20065	-44.0114	-44.0114	0	0	21.5537
1.75	0.196753	-44.0113	-44.0113	0	0	21.5452
1.76	0.192815	-44.0112	-44.0112	0	0	21.5366
1.77	0.188838	-44.011	-44.011	0	0	21.528
1.78	0.184821	-44.0109	-44.0109	0	0	21.5193
1.79	0.180767	-44.0108	-44.0108	0	0	21.5106
1.8	0.176674	-44.0107	-44.0107	0	0	21.5019
1.81	0.172546	-44.0105	-44.0105	0	0	21.4931
1.82	0.168381	-44.0104	-44.0104	0	0	21.4842
1.83	0.164182	-44.0103	-44.0103	0	0	21.4753
1.84	0.159949	-44.0101	-44.0101	0	0	21.4663
1.85	0.155683	-44.01	-44.01	0	0	21.4573
1.86	0.151385	-44.0099	-44.0099	0	0	21.4483
1.87	0.147055	-44.0097	-44.0097	0	0	21.4392
1.88	0.142695	-44.0096	-44.0096	0	0	21.43
1.89	0.138306	-44.0094	-44.0094	0	0	21.4208
1.9	0.133888	-44.0093	-44.0093	0	0	21.4116
1.91	0.129442	-44.0091	-44.0091	0	0	21.4023
1.92	0.124969	-44.009	-44.009	0	0	21.3929
1.93	0.120471	-44.0088	-44.0088	0	0	21.3835
1.94	0.115948	-44.0087	-44.0087	0	0	21.3741
1.95	0.1114	-44.0085	-44.0085	0	0	21.3646
1.96	0.10683	-44.0084	-44.0084	0	0	21.355
1.97	0.102238	-44.0082	-44.0082	0	0	21.3454
1.98	0.0976245	-44.008	-44.008	0	0	21.3358
1.99	0.0929909	-44.0079	-44.0079	0	0	21.3261
