0	0	-nan	-44.0186	-nan	0	22.2927
1.44	0.19992	-22.2276	-44.0142	0	0	21.7866
1.45	0.20131	-22.2346	-44.0141	0	0	21.7795
1.46	0.202699	-22.2416	-44.0141	0	0	21.7724
1.47	0.204089	-22.2487	-44.014	0	0	21.7653
1.48	0.205478	-22.2558	-44.0139	0	0	21.7581
1.49	0.206867	-22.263	-44.0138	0	0	21.7508
1.5	0.208255	-22.2702	-44.0138	0	0	21.7435
1.51	0.209644	-22.2775	-44.0137	0	0	21.7362
1.52	0.211032	-22.2848	-44.0136	0	0	21.7288
1.53	0.21242	-22.2922	-44.0135	0	0	21.7213
1.54	0.213808	-22.2996	-44.0134	0	0	21.7138
1.55	0.215196	-22.307	-44.0133	0	0	21.7063
1.56	0.216583	-22.3145	-44.0132	0	0	21.6987
1.57	0.21797	-22.3221	-44.0132	0	0	21.6911
1.58	0.219357	-22.3297	-44.0131	0	0	21.6834
1.59	0.220744	-22.3373	-44.013	0	0	21.6756
1.6	0.22213	-22.345	-44.0129	0	0	21.6679
1.61	0.223516	-22.3528	-44.0128	0	0	21.66
1.62	0.224902	-22.3605	-44.0127	0	0	21.6521
1.63	0.226287	-22.3684	-44.0126	0	0	21.6442
1.64	0.227672	-22.3763	-44.0125	0	0	21.6362
1.65	0.229056	-22.3842	-44.0124	0	0	21.6282
1.66	0.230441	-22.3922	-44.0123	0	0	21.6201
1.67	0.231824	-22.4002	-44.0122	0	0	21.612
1.68	0.233208	-22.4083	-44.0121	0	0	21.6038
1.69	0.234591	-22.4164	-44.012	0	0	21.5956
1.7	0.235974	-22.4245	-44.0119	0	0	21.5873
1.71	0.237356	-22.4328	-44.0117	0	0	21.579
1.72	0.238738	-22.441	-44.0116	0	0	21.5706
1.73	0.240119	-22.4493	-44.0115	0	0	21.5622
1.74	0.2415	-22.4577	-44.0114	0	0	21.5537
1.75	0.242881	-22.4661	-44.0113	0	0	21.5452
1.76	0.244261	-22.4745	-44.0112	0	0	21.5366
1.77	0.24564	-22.483	-44.011	0	0	21.528
1.78	0.247019	-22.4916	-44.0109	0	0	21.5193
1.79	0.248398	-22.5002	-44.0108	0	0	21.5106
1.8	0.249776	-22.5088	-44.0107	0	0	21.5019
1.81	0.251153	-22.5175	-44.0105	0	0	21.4931
1.82	0.25253	-22.5262	-44.0104	0	0	21.4842
1.83	0.253906	-22.535	-44.0103	0	0	21.4753
1.84	0.255282	-22.5438	-44.0101	0	0	21.4663
1.85	0.256657	-22.5527	-44.01	0	0	21.4573
1.86	0.258032	-22.5616	-44.0099	0	0	21.4483
1.87	0.259406	-22.5706	-44.0097	0	0	21.4392
1.88	0.260779	-22.5796	-44.0096	0	0	21.43
1.89	0.262151	-22.5886	-44.0094	0	0	21.4208
1.9	0.263523	-22.5977	-44.0093	0	0	21.4116
1.91	0.264895	-22.6069	-44.0091	0	0	21.4023
1.92	0.266265	-22.6161	-44.009	0	0	21.3929
1.93	0.267635	-22.6253	-44.0088	0	0	21.3835
1.94	0.269004	-22.6346	-44.0087	0	0	21.3741
1.95	0.270372	-22.6439	-44.0085	0	0	21.3646
1.96	0.27174	-22.6533	-44.0084	0	0	21.355
1.97	0.273107	-22.6628	-44.0082	0	0	21.3454
1.98	0.274473	-22.6722	-44.008	0	0	21.3358
1.99	0.275838	-22.6818	-44.0079	0	0	21.3261
2	0.277202	-22.6913	-44.0077	0	0	21.3164
2.01	0.278566	-22.7009	-44.0075	0	0	21.3066
2.02	0.279929	-22.7106	-44.0073	0	0	21.2967
2.03	0.28129	-22.7203	-44.0072	0	0	21.2868
2.04	0.282651	-22.7301	-44.007	0	0	21.2769
2.05	0.284011	-22.7399	-44.0068	0	0	21.2669
2.06	0.28537	-22.7497	-44.0066	0	0	21.2569
2.07	0.286728	-22.7596	-44.0064	0	0	21.2468
2.08	0.288085	-22.7695	-44.0062	0	0	21.2367
2.09	0.289442	-22.7795	-44.006	0	0	21.2265
2.1	0.290797	-22.7895	-44.0058	0	0	21.2163
2.11	0.292151	-22.7996	-44.0056	0	0	21.206
2.12	0.293504	-22.8097	-44.0054	0	0	21.1957
2.13	0.294856	-22.8199	-44.0052	0	0	21.1853
2.14	0.296207	-22.8301	-44.005	0	0	21.1749
2.15	0.297557	-22.8404	-44.0048	0	0	21.1644
2.16	0.298905	-22.8507	-44.0046	0	0	21.1539
2.17	0.300253	-22.861	-44.0044	0	0	21.1433
2.18	0.301599	-22.8714	-44.0041	0	0	21.1327
2.19	0.302944	-22.8819	-44.0039	0	0	21.122
2.2	0.304288	-22.8924	-44.0037	0	0	21.1113
2.21	0.305631	-22.9029	-44.0034	0	0	21.1006
2.22	0.306973	-22.9135	-44.0032	0	0	21.0897
2.23	0.308313	-22.9241	-44.003	0	0	21.0789
2.24	0.309652	-22.9347	-44.0027	0	0	21.068
2.25	0.31099	-22.9455	-44.0025	0	0	21.057
2.26	0.312326	-22.9562	-44.0022	0	0	21.046
2.27	0.313661	-22.967	-44.002	0	0	21.0349
2.28	0.314995	-22.9779	-44.0017	0	0	21.0238
2.29	0.316327	-22.9888	-44.0014	0	0	21.0127
2.3	0.317658	-22.9997	-44.0012	0	0	21.0015
2.31	0.318987	-23.0107	-44.0009	0	0	20.9902
2.32	0.320315	-23.0217	-44.0006	0	0	20.9789
2.33	0.321641	-23.0328	-44.0003	0	0	20.9676
2.34	0.322966	-23.0439	-44.0001	0	0	20.9562
2.35	0.32429	-23.055	-43.9998	0	0	20.9447
2.36	0.325612	-23.0662	-43.9995	0	0	20.9332
2.37	0.326932	-23.0775	-43.9992	0	0	20.9217
2.38	0.328251	-23.0888	-43.9989	0	0	20.9101
2.39	0.329568	-23.1001	-43.9986	0	0	20.8984
2.4	0.330883	-23.1115	-43.9983	0	0	20.8868
2.41	0.332197	-23.1229	-43.9979	0	0	20.875
2.42	0.333509	-23.1344	-43.9976	0	0	20.8632
2.43	0.334819	-23.1459	-43.9973	0	0	20.8514
2.44	0.336127	-23.1575	-43.997	0	0	20.8395
2.45	0.337434	-23.1691	-43.9966	0	0	20.8276
2.46	0.338739	-23.1807	-43.9963	0	0	20.8156
2.47	0.340042	-23.1924	-43.996	0	0	20.8035
2.48	0.341343	-23.2041	-43.9956	0	0	20.7915
2.49	0.342642	-23.2159	-43.9952	0	0	20.7793
2.5	0.34394	-23.2277	-43.9949	0	0	20.7671
2.51	0.345235	-23.2396	-43.9945	0	0	20.7549
2.52	0.346529	-23.2515	-43.9942	0	0	20.7426
2.53	0.34782	-23.2635	-43.9938	0	0	20.7303
2.54	0.34911	-23.2755	-43.9934	0	0	20.7179
2.55	0.350397	-23.2875	-43.993	0	0	20.7055
2.56	0.351683	-23.2996	-43.9926	0	0	20.693
2.57	0.352966	-23.3117	-43.9922	0	0	20.6805
2.58	0.354247	-23.3239	-43.9918	0	0	20.6679
2.59	0.355526	-23.3361	-43.9914	0	0	20.6553
2.6	0.356803	-23.3483	-43.991	0	0	20.6427
2.61	0.358078	-23.3606	-43.9905	0	0	20.6299
2.62	0.35935	-23.3729	-43.9901	0	0	20.6172
2.63	0.36062	-23.3853	-43.9897	0	0	20.6044
2.64	0.361888	-23.3977	-43.9892	0	0	20.5915
2.65	0.363153	-23.4102	-43.9888	0	0	20.5786
2.66	0.364416	-23.4227	-43.9883	0	0	20.5656
2.67	0.365677	-23.4353	-43.9879	0	0	20.5526
2.68	0.366935	-23.4478	-43.9874	0	0	20.5396
2.69	0.368191	-23.4605	-43.9869	0	0	20.5264
