         216
  1     0   0   1  -1  -1
  2     0   0   1   1  -1
  3     0   0   1  -1   1
  4     0   0   1   1   1
  5     0   1   3  -3  -1
  6     0   1   3  -1  -1
  7     0   1   3   1  -1
  8     0   1   3   3  -1
  9     0   1   3  -3   1
 10     0   1   3  -1   1
 11     0   1   3   1   1
 12     0   1   3   3   1
 13     0   1   1  -1  -1
 14     0   1   1   1  -1
 15     0   1   1  -1   1
 16     0   1   1   1   1
 17     0   2   5  -5  -1
 18     0   2   5  -3  -1
 19     0   2   5  -1  -1
 20     0   2   5   1  -1
 21     0   2   5   3  -1
 22     0   2   5   5  -1
 23     0   2   5  -5   1
 24     0   2   5  -3   1
 25     0   2   5  -1   1
 26     0   2   5   1   1
 27     0   2   5   3   1
 28     0   2   5   5   1
 29     0   2   3  -3  -1
 30     0   2   3  -1  -1
 31     0   2   3   1  -1
 32     0   2   3   3  -1
 33     0   2   3  -3   1
 34     0   2   3  -1   1
 35     0   2   3   1   1
 36     0   2   3   3   1
 37     1   0   1  -1  -1
 38     1   0   1   1  -1
 39     1   0   1  -1   1
 40     1   0   1   1   1
 41     1   1   3  -3  -1
 42     1   1   3  -1  -1
 43     1   1   3   1  -1
 44     1   1   3   3  -1
 45     1   1   3  -3   1
 46     1   1   3  -1   1
 47     1   1   3   1   1
 48     1   1   3   3   1
 49     1   1   1  -1  -1
 50     1   1   1   1  -1
 51     1   1   1  -1   1
 52     1   1   1   1   1
 53     1   2   5  -5  -1
 54     1   2   5  -3  -1
 55     1   2   5  -1  -1
 56     1   2   5   1  -1
 57     1   2   5   3  -1
 58     1   2   5   5  -1
 59     1   2   5  -5   1
 60     1   2   5  -3   1
 61     1   2   5  -1   1
 62     1   2   5   1   1
 63     1   2   5   3   1
 64     1   2   5   5   1
 65     1   2   3  -3  -1
 66     1   2   3  -1  -1
 67     1   2   3   1  -1
 68     1   2   3   3  -1
 69     1   2   3  -3   1
 70     1   2   3  -1   1
 71     1   2   3   1   1
 72     1   2   3   3   1
 73     2   0   1  -1  -1
 74     2   0   1   1  -1
 75     2   0   1  -1   1
 76     2   0   1   1   1
 77     2   1   3  -3  -1
 78     2   1   3  -1  -1
 79     2   1   3   1  -1
 80     2   1   3   3  -1
 81     2   1   3  -3   1
