n   n_rd_  0  l  0  2j 1    u(r)_001    sp_en=     -39.8244298995
n   n_rd_  0  l  1  2j 1    u(r)_002    sp_en=     -36.0429771245
n   n_rd_  0  l  1  2j 3    u(r)_003    sp_en=     -35.9122775495
n   n_rd_  0  l  2  2j 3    u(r)_004    sp_en=     -31.3495613635
n   n_rd_  0  l  2  2j 5    u(r)_005    sp_en=     -31.0412921011
n   n_rd_  1  l  0  2j 1    u(r)_006    sp_en=     -29.0747009218
n   n_rd_  0  l  3  2j 5    u(r)_007    sp_en=     -25.9841002524
n   n_rd_  0  l  3  2j 7    u(r)_008    sp_en=     -25.4268012941
n   n_rd_  1  l  1  2j 1    u(r)_009    sp_en=     -23.1802247465
n   n_rd_  1  l  1  2j 3    u(r)_010    sp_en=     -22.9557417333
n   n_rd_  0  l  4  2j 7    u(r)_011    sp_en=     -20.0297586620
n   n_rd_  0  l  4  2j 9    u(r)_012    sp_en=     -19.1577591002
n   n_rd_  1  l  2  2j 3    u(r)_013    sp_en=     -16.5209986269
n   n_rd_  1  l  2  2j 5    u(r)_014    sp_en=     -16.0886012018
n   n_rd_  2  l  0  2j 1    u(r)_015    sp_en=     -14.5207367837
n   n_rd_  0  l  5  2j 9    u(r)_016    sp_en=     -13.5621257126
n   n_rd_  0  l  5  2j11    u(r)_017    sp_en=     -12.3210318387
n   n_rd_  1  l  3  2j 5    u(r)_018    sp_en=      -9.6487306058
n   n_rd_  1  l  3  2j 7    u(r)_019    sp_en=      -8.9917145669
n   n_rd_  2  l  1  2j 1    u(r)_020    sp_en=      -7.9767905176
n   n_rd_  2  l  1  2j 3    u(r)_021    sp_en=      -7.7271156013
n   n_rd_  0  l  6  2j11    u(r)_022    sp_en=      -6.6592298448
n   n_rd_  0  l  6  2j13    u(r)_023    sp_en=      -5.0148062408
n   n_rd_  1  l  4  2j 7    u(r)_024    sp_en=      -2.7906037867
n   n_rd_  1  l  4  2j 9    u(r)_025    sp_en=      -1.9508935511
n   n_rd_  2  l  2  2j 3    u(r)_026    sp_en=      -1.5080921352
n   n_rd_  2  l  2  2j 5    u(r)_027    sp_en=      -1.1786736548
n   n_rd_  3  l  0  2j 1    u(r)_028    sp_en=      -0.8055977523
n   n_rd_  3  l  1  2j 1    u(r)_029    sp_en=       0.5138091743
n   n_rd_  3  l  1  2j 3    u(r)_030    sp_en=       0.5176685750
n   n_rd_  0  l  7  2j13    u(r)_031    sp_en=       0.5832277238
n   n_rd_  4  l  0  2j 1    u(r)_032    sp_en=       0.5920790136
n   n_rd_  3  l  2  2j 3    u(r)_033    sp_en=       0.8502371609
n   n_rd_  3  l  2  2j 5    u(r)_034    sp_en=       0.8578531444
n   n_rd_  2  l  3  2j 5    u(r)_035    sp_en=       1.1248432100
n   n_rd_  2  l  3  2j 7    u(r)_036    sp_en=       1.1289261281
n   n_rd_  2  l  4  2j 7    u(r)_037    sp_en=       1.5663735569
n   n_rd_  2  l  4  2j 9    u(r)_038    sp_en=       1.5676818788
n   n_rd_  1  l  5  2j 9    u(r)_039    sp_en=       2.0382247865
n   n_rd_  1  l  5  2j11    u(r)_040    sp_en=       2.0404018462
n   n_rd_  1  l  6  2j11    u(r)_041    sp_en=       2.5801472366
n   n_rd_  1  l  6  2j13    u(r)_042    sp_en=       2.5802545249
n   n_rd_  0  l  7  2j15    u(r)_043    sp_en=       2.6226170361
n   n_rd_  0  l  8  2j15    u(r)_044    sp_en=       3.8200549781
n   n_rd_  0  l  8  2j17    u(r)_045    sp_en=       3.8200713694
p   n_rd_  0  l  0  2j 1    u(r)_046    sp_en=     -13.9199085534
p   n_rd_  0  l  1  2j 1    u(r)_047    sp_en=     -11.5007199347
p   n_rd_  0  l  1  2j 3    u(r)_048    sp_en=     -11.3132707775
p   n_rd_  0  l  2  2j 3    u(r)_049    sp_en=      -7.7865131199
p   n_rd_  0  l  2  2j 5    u(r)_050    sp_en=      -7.4023894966
p   n_rd_  0  l  3  2j 5    u(r)_051    sp_en=      -3.1183667481
p   n_rd_  1  l  0  2j 1    u(r)_052    sp_en=      -2.9711030424
p   n_rd_  0  l  3  2j 7    u(r)_053    sp_en=      -2.4797745049
p   n_rd_  1  l  1  2j 1    u(r)_054    sp_en=       2.2336967289
p   n_rd_  0  l  4  2j 7    u(r)_055    sp_en=       2.3388080299
p   n_rd_  1  l  1  2j 3    u(r)_056    sp_en=       2.4569042027
p   n_rd_  0  l  4  2j 9    u(r)_057    sp_en=       3.2865472138
p   n_rd_  1  l  2  2j 3    u(r)_058    sp_en=       8.1315986812
p   n_rd_  0  l  5  2j 9    u(r)_059    sp_en=       8.4568224847
p   n_rd_  1  l  2  2j 5    u(r)_060    sp_en=       8.5639186203
p   n_rd_  0  l  5  2j11    u(r)_061    sp_en=       9.7604997456
p   n_rd_  2  l  0  2j 1    u(r)_062    sp_en=      10.7611976564
p   n_rd_  1  l  3  2j 5    u(r)_063    sp_en=      14.2483137548
p   n_rd_  1  l  3  2j 7    u(r)_064    sp_en=      14.9004794657
p   n_rd_  0  l  6  2j11    u(r)_065    sp_en=      15.1194311678
p   n_rd_  2  l  1  2j 1    u(r)_066    sp_en=      16.5663190186
p   n_rd_  2  l  1  2j 3    u(r)_067    sp_en=      16.7918495834
p   n_rd_  0  l  6  2j13    u(r)_068    sp_en=      16.8090529740
p   n_rd_  1  l  4  2j 7    u(r)_069    sp_en=      20.3259669244
p   n_rd_  1  l  4  2j 9    u(r)_070    sp_en=      21.1253128946
p   n_rd_  3  l  0  2j 1    u(r)_071    sp_en=      21.6046325862
p   n_rd_  2  l  2  2j 3    u(r)_072    sp_en=      21.6506756842
p   n_rd_  2  l  2  2j 5    u(r)_073    sp_en=      21.8134604394
p   n_rd_  3  l  1  2j 1    u(r)_074    sp_en=      21.9631008804
p   n_rd_  3  l  1  2j 3    u(r)_075    sp_en=      21.9656370580
p   n_rd_  0  l  7  2j13    u(r)_076    sp_en=      22.2011663020
p   n_rd_  3  l  2  2j 3    u(r)_077    sp_en=      22.3889477551
p   n_rd_  4  l  0  2j 1    u(r)_078    sp_en=      22.4237330258
p   n_rd_  3  l  2  2j 5    u(r)_079    sp_en=      22.4519439042
p   n_rd_  2  l  3  2j 5    u(r)_080    sp_en=      22.5386984646
p   n_rd_  2  l  3  2j 7    u(r)_081    sp_en=      22.5407861173
p   n_rd_  2  l  4  2j 7    u(r)_082    sp_en=      22.9721315205
p   n_rd_  2  l  4  2j 9    u(r)_083    sp_en=      22.9756332934
p   n_rd_  1  l  5  2j 9    u(r)_084    sp_en=      23.4412185848
p   n_rd_  1  l  5  2j11    u(r)_085    sp_en=      23.4422974288
p   n_rd_  1  l  6  2j11    u(r)_086    sp_en=      23.9812172949
p   n_rd_  1  l  6  2j13    u(r)_087    sp_en=      23.9813201129
p   n_rd_  0  l  7  2j15    u(r)_088    sp_en=      24.2657504976
p   n_rd_  0  l  8  2j15    u(r)_089    sp_en=      25.2210862935
p   n_rd_  0  l  8  2j17    u(r)_090    sp_en=      25.2211011946
